Title,Year,Genre,Star1,Star2,Star3
Gladiator,2000,"Action, Adventure, Drama",Russell Crowe,Joaquin Phoenix,Connie Nielsen
Memento,2000,"Mystery, Thriller",Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Snatch,2000,"Comedy, Crime",Jason Statham,Brad Pitt,Benicio Del Toro
Requiem for a Dream,2000,Drama,Ellen Burstyn,Jared Leto,Jennifer Connelly
Hera Pheri,2000,"Action, Comedy, Crime",Akshay Kumar,Sunil Shetty,Paresh Rawal
Amores perros,2000,"Drama, Thriller",Emilio Echevarría,Gael García Bernal,Goya Toledo
Fa yeung nin wah,2000,"Drama, Romance",Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu
Dancer in the Dark,2000,"Crime, Drama, Musical",Björk,Catherine Deneuve,David Morse
Nueve reinas,2000,"Crime, Drama, Thriller",Ricardo Darín,Gastón Pauls,Graciela Tenenbaum
Almost Famous,2000,"Adventure, Comedy, Drama",Billy Crudup,Patrick Fugit,Kate Hudson
Gongdong gyeongbi guyeok JSA,2000,"Action, Drama, Thriller",Lee Yeong-ae,Lee Byung-Hun,Kang-ho Song
Remember the Titans,2000,"Biography, Drama, Sport",Denzel Washington,Will Patton,Wood Harris
Wo hu cang long,2000,"Action, Adventure, Fantasy",Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang
Cast Away,2000,"Adventure, Drama, Romance",Tom Hanks,Helen Hunt,Paul Sanchez
Billy Elliot,2000,"Drama, Music",Jamie Bell,Julie Walters,Jean Heywood
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",Andrew Philpot,John Rafter Lee,Pamela Adlon
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",Ethan Coen,George Clooney,John Turturro
Batoru rowaiaru,2000,"Action, Adventure, Drama",Tatsuya Fujiwara,Aki Maeda,Tarô Yamamoto
American Psycho,2000,"Comedy, Crime, Drama",Christian Bale,Justin Theroux,Josh Lucas
